id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4361,30,management,married,tertiary,no,42,no,no,cellular,25,aug,115,6,-1,0,unknown,no
453,32,blue-collar,married,secondary,no,34,yes,no,cellular,5,may,321,2,-1,0,unknown,no
1086,50,self-employed,married,secondary,no,3025,no,yes,cellular,6,aug,168,3,-1,0,unknown,no
2985,34,technician,single,secondary,no,16,no,no,cellular,13,aug,990,1,-1,0,unknown,yes
3835,29,housemaid,single,tertiary,no,19,no,no,cellular,5,feb,110,2,64,2,success,yes
797,58,management,married,secondary,no,111,no,no,telephone,24,mar,58,2,-1,0,unknown,no
3288,59,unemployed,divorced,secondary,no,2921,no,no,telephone,3,feb,251,1,-1,0,unknown,no
3757,35,technician,single,tertiary,no,2288,no,no,telephone,28,may,32,2,-1,0,unknown,no
1029,32,technician,married,secondary,no,266,yes,no,cellular,19,aug,168,2,-1,0,unknown,no
1905,46,management,married,tertiary,no,273,yes,no,cellular,18,mar,910,2,184,4,success,yes
1320,48,management,married,tertiary,no,60,no,no,telephone,7,may,376,2,339,7,failure,no
1109,59,technician,married,secondary,no,1,no,no,cellular,15,apr,159,2,378,3,failure,yes
4433,40,management,married,tertiary,no,-17,yes,yes,cellular,11,may,474,1,256,1,success,yes
1006,40,management,married,tertiary,no,5,yes,no,cellular,18,nov,219,3,-1,0,unknown,no
3384,35,admin.,single,secondary,no,847,yes,no,cellular,11,may,85,2,-1,0,unknown,no
2512,53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes
899,51,blue-collar,divorced,unknown,no,10287,yes,no,unknown,29,may,117,1,-1,0,unknown,no
2468,28,admin.,single,secondary,no,1323,yes,no,unknown,3,jun,361,1,-1,0,unknown,no
1267,36,unemployed,married,secondary,no,-129,yes,no,cellular,29,jul,121,3,-1,0,unknown,no
3763,33,blue-collar,married,secondary,no,137,no,yes,cellular,18,jul,305,12,-1,0,unknown,no
805,41,technician,married,secondary,no,2125,yes,yes,cellular,21,nov,285,3,116,4,failure,no
2260,47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285,6,-1,0,unknown,no
4123,47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown,yes
3036,73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,-1,0,unknown,yes
1900,19,student,single,unknown,no,0,no,no,cellular,11,feb,123,3,-1,0,unknown,no
1233,37,blue-collar,married,secondary,no,131,yes,no,unknown,9,may,137,2,-1,0,unknown,no
2418,31,technician,single,tertiary,no,23,no,no,cellular,25,aug,121,3,-1,0,unknown,no
2156,29,services,married,secondary,no,57,yes,no,telephone,21,jul,342,9,-1,0,unknown,no
2246,28,admin.,single,secondary,no,89,yes,yes,cellular,6,feb,172,2,-1,0,unknown,no
2227,34,management,single,tertiary,no,6766,no,no,cellular,28,aug,210,5,-1,0,unknown,no
2232,38,technician,married,secondary,no,7696,yes,no,cellular,20,nov,386,2,-1,0,unknown,no
1656,32,management,married,tertiary,no,71,yes,no,cellular,21,jul,221,8,-1,0,unknown,no
3754,36,management,single,tertiary,no,2944,no,no,cellular,18,aug,882,8,-1,0,unknown,yes
2667,28,blue-collar,single,secondary,no,43,no,no,unknown,19,may,190,1,-1,0,unknown,no
25,41,management,married,tertiary,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no
1379,46,admin.,married,secondary,no,368,no,no,cellular,20,aug,293,1,90,4,other,yes
2503,55,management,married,tertiary,no,540,no,no,cellular,19,nov,124,2,-1,0,unknown,no
153,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
3638,32,technician,single,secondary,no,-28,no,yes,unknown,4,jul,400,1,-1,0,unknown,no
1938,44,self-employed,divorced,secondary,no,80,yes,yes,unknown,14,may,387,2,-1,0,unknown,no
1988,56,admin.,divorced,secondary,no,985,no,yes,cellular,18,aug,150,2,-1,0,unknown,no
2424,47,management,married,tertiary,no,1890,no,no,cellular,8,jul,161,1,-1,0,unknown,no
657,64,retired,married,primary,no,43,no,no,cellular,11,mar,117,1,91,1,success,no
841,42,technician,married,secondary,no,439,no,no,cellular,20,aug,143,2,-1,0,unknown,no
316,46,blue-collar,married,secondary,no,182,no,no,cellular,4,feb,56,1,-1,0,unknown,no
60,41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
1254,32,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,175,4,-1,0,unknown,no
379,27,services,single,secondary,no,468,yes,no,cellular,13,may,109,1,-1,0,unknown,no
3415,26,services,single,secondary,yes,-162,yes,no,cellular,15,may,44,2,-1,0,unknown,no
204,29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
3479,25,technician,single,tertiary,no,468,yes,no,unknown,15,may,147,1,-1,0,unknown,no
1226,32,admin.,divorced,secondary,yes,5,yes,yes,cellular,18,may,82,3,363,2,other,no
1597,34,self-employed,single,tertiary,no,876,yes,no,cellular,17,nov,145,2,-1,0,unknown,no
332,34,admin.,married,secondary,no,244,yes,no,cellular,31,jul,56,4,-1,0,unknown,no
26,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
1979,31,unemployed,single,secondary,no,-186,yes,no,unknown,26,may,172,3,-1,0,unknown,no
4481,43,services,married,secondary,no,642,no,no,cellular,31,jul,644,2,-1,0,unknown,no
1465,39,services,married,secondary,no,124,yes,no,cellular,31,jul,81,5,-1,0,unknown,no
3926,56,retired,married,primary,no,-1,no,no,cellular,27,aug,89,23,-1,0,unknown,no
1462,33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown,no
3731,52,retired,married,secondary,no,424,no,no,cellular,19,nov,143,1,154,3,failure,no
3904,32,admin.,married,secondary,no,76,yes,no,unknown,21,may,189,2,-1,0,unknown,no
4086,36,management,single,tertiary,no,876,yes,no,unknown,23,may,241,2,-1,0,unknown,no
2332,30,management,married,tertiary,no,102,yes,no,cellular,5,apr,470,7,426,3,other,yes
3080,33,services,married,secondary,no,478,no,no,cellular,30,apr,475,2,-1,0,unknown,yes
2838,33,technician,married,secondary,no,58,yes,no,telephone,29,aug,57,2,-1,0,unknown,no
4050,37,technician,married,unknown,no,47,no,no,unknown,19,jun,374,3,-1,0,unknown,no
221,37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
3910,49,admin.,married,secondary,no,14440,yes,no,cellular,21,nov,60,1,-1,0,unknown,no
726,37,management,single,tertiary,no,509,yes,no,cellular,6,may,133,1,-1,0,unknown,no
273,35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
442,42,technician,single,secondary,no,275,no,no,cellular,26,aug,31,8,-1,0,unknown,no
1515,46,housemaid,married,primary,no,19,yes,no,telephone,21,jul,171,1,-1,0,unknown,no
292,53,services,married,secondary,no,4994,no,no,cellular,18,aug,62,6,-1,0,unknown,no
3474,36,admin.,married,secondary,no,4280,no,no,unknown,19,jun,227,6,-1,0,unknown,no
